Soil_Type,pH_Level,Nitrogen,Phosphorus,Potassium,Organic_Matter,Soil_Moisture,Temperature,Humidity,Rainfall,Wind_Speed,Water_Table,Location,Altitude,Best_Crop
Loamy,5.05,232.64,84.65,82.45,2.32,Wet,34.1,39.18,1814.71,17.96,9.52,Temperate,1711.01,Barley
Loamy,5.49,257.65,78.91,24.42,4.82,Dry,16.38,56.8,1099.02,9.82,4.17,Temperate,1759.91,Sugarcane
Clay,6.6,233.21,90.09,151.86,1.59,Wet,35.32,82.9,1997.6,18.88,3.18,Temperate,715.73,Rice
Sandy,7.44,181.46,48.54,101.72,1.36,Wet,14.61,58.1,807.91,7.48,4.01,Arid,1588.25,Barley
Clay,8.08,265.92,22.82,70.54,4.03,Moderate,30.12,60.48,1082.49,12.38,6.92,Temperate,266.39,Rice
Clay,5.62,265.85,73.87,142.67,3.6,Moderate,35.2,87.35,1558.68,15.55,6.05,Tropical,303.35,Maize
Loamy,6.48,100.04,143.0,232.6,0.83,Wet,14.17,41.37,981.53,19.05,9.14,Tropical,1365.63,Soybean
Clay,5.46,82.93,105.57,83.17,2.97,Wet,16.13,63.31,1038.23,16.03,4.77,Arid,1454.37,Wheat
Loamy,6.99,105.2,69.6,191.74,3.64,Wet,25.81,33.26,1978.43,12.36,8.79,Tropical,1684.23,Soybean
Loamy,6.32,234.96,141.14,148.87,0.54,Dry,24.95,31.27,1656.02,16.06,1.45,Arid,1589.06,Sugarcane
Sandy,5.61,186.89,17.61,15.52,0.73,Wet,24.89,20.05,1316.71,1.53,4.67,Temperate,842.17,Barley
Clay,8.31,125.41,20.17,15.65,1.6,Dry,20.41,38.03,1245.86,13.62,3.98,Tropical,615.47,Wheat
Loamy,7.04,109.79,135.93,157.38,3.93,Dry,15.5,52.46,1558.65,2.95,9.41,Temperate,769.21,Soybean
Sandy,6.12,290.58,108.91,63.06,1.82,Wet,15.34,86.46,539.19,8.93,9.59,Arid,621.11,Rice
Loamy,7.25,95.67,117.05,155.2,2.49,Wet,29.41,37.78,1415.25,10.68,2.28,Tropical,1473.89,Wheat
Sandy,6.19,236.74,38.92,16.88,3.45,Moderate,29.2,36.47,1331.38,4.68,7.12,Tropical,1124.12,Barley
Clay,8.12,171.52,132.92,202.84,2.38,Dry,19.35,47.38,1705.11,12.02,8.7,Tropical,435.61,Soybean
Sandy,8.24,41.66,100.54,165.1,2.43,Dry,27.01,73.46,1093.28,3.86,7.42,Temperate,757.04,Wheat
Loamy,8.28,98.56,80.88,147.46,3.0,Moderate,11.58,32.1,611.21,14.15,5.76,Temperate,1158.2,Rice
Sandy,6.57,104.04,84.74,114.49,1.59,Moderate,21.3,88.42,1107.78,7.07,2.14,Arid,1393.19,Barley
Clay,7.32,115.99,36.12,15.57,1.94,Dry,24.73,64.54,1639.59,9.76,6.02,Tropical,1351.71,Sugarcane
Sandy,6.15,139.85,39.43,44.41,2.01,Dry,23.12,44.58,1634.73,16.34,3.24,Arid,969.95,Rice
Sandy,7.84,295.73,30.9,236.44,4.03,Moderate,11.25,34.97,1941.56,15.34,4.57,Temperate,1512.61,Rice
Sandy,7.08,23.4,145.46,157.29,1.17,Moderate,18.97,54.38,778.21,7.24,3.33,Tropical,531.91,Maize
Sandy,5.59,54.35,38.67,79.0,4.24,Dry,16.45,77.63,1777.11,3.41,2.42,Temperate,1661.65,Soybean
Sandy,5.1,170.86,149.81,204.1,3.03,Wet,30.72,29.59,1819.87,0.54,8.56,Arid,933.75,Wheat
Sandy,6.45,86.98,125.57,245.49,2.24,Wet,12.09,62.2,619.71,11.82,8.18,Tropical,1107.07,Soybean
Clay,6.67,134.79,137.57,132.72,2.79,Moderate,34.72,20.84,1099.36,10.93,8.07,Tropical,1129.84,Maize
Loamy,5.93,157.58,51.98,101.59,4.8,Dry,34.43,51.41,909.62,18.68,8.77,Arid,236.08,Rice
Sandy,6.4,141.49,29.91,58.44,4.39,Wet,20.36,74.76,790.57,3.9,8.17,Temperate,1352.56,Rice
Sandy,7.47,183.04,21.39,66.73,2.81,Moderate,33.57,34.03,1338.34,16.02,2.38,Tropical,1399.6,Rice
Loamy,7.91,261.24,38.91,43.18,2.67,Moderate,20.8,24.95,1023.17,19.47,2.21,Temperate,1864.83,Sugarcane
Clay,6.23,60.82,24.87,97.92,3.71,Wet,32.6,43.8,1548.4,7.87,6.46,Tropical,1478.1,Soybean
Sandy,8.37,120.93,13.04,154.18,3.38,Wet,18.31,81.92,617.89,17.9,2.27,Temperate,1241.32,Soybean
Sandy,6.64,65.01,9.59,214.96,3.38,Dry,21.31,43.42,1412.94,18.62,0.64,Arid,539.54,Barley
Sandy,6.25,222.68,21.08,239.64,2.3,Dry,12.55,32.7,1176.26,5.01,2.74,Temperate,1546.27,Maize
Loamy,8.28,253.84,28.26,21.79,1.77,Wet,34.69,49.14,1785.74,13.04,4.68,Arid,658.47,Sugarcane
Sandy,7.77,299.56,58.41,77.65,2.41,Dry,20.79,30.82,1072.71,19.54,1.81,Tropical,502.36,Sugarcane
Loamy,5.45,273.2,27.53,25.67,1.83,Moderate,23.02,38.5,1645.84,7.85,7.84,Arid,1716.4,Barley
Loamy,5.25,224.21,51.67,211.86,1.91,Wet,19.38,23.58,1075.03,15.98,5.61,Temperate,978.42,Maize
Loamy,8.37,13.12,117.04,196.43,3.3,Dry,21.09,88.44,848.1,4.18,7.56,Arid,1649.24,Barley
Loamy,5.36,228.73,44.25,167.9,3.17,Moderate,38.39,58.58,576.61,15.21,3.47,Arid,1722.89,Barley
Clay,6.39,36.8,84.07,67.16,4.48,Dry,16.79,85.16,960.62,15.38,3.02,Temperate,1797.87,Soybean
Sandy,8.31,42.05,52.17,164.21,2.65,Dry,26.91,27.03,1028.58,4.51,7.78,Tropical,963.61,Rice
Clay,6.91,122.69,148.33,157.02,3.81,Dry,10.66,26.16,1035.46,8.35,9.07,Tropical,1390.15,Rice
Loamy,6.07,281.72,91.65,140.61,1.98,Moderate,18.55,61.42,1010.6,3.8,2.4,Tropical,791.83,Rice
Loamy,7.29,178.52,38.15,202.78,2.95,Wet,15.36,71.72,1620.91,6.74,1.66,Tropical,850.95,Wheat
Clay,5.64,125.38,123.21,20.0,4.22,Moderate,34.61,65.17,872.44,2.95,1.92,Tropical,132.29,Wheat
Clay,8.34,291.91,70.56,183.69,4.5,Wet,10.13,37.06,1662.39,17.75,3.01,Temperate,464.1,Wheat
Sandy,5.11,102.6,12.09,168.28,3.76,Dry,11.77,74.95,533.2,14.11,7.98,Arid,1951.82,Maize
Loamy,5.96,71.98,149.47,201.74,3.27,Moderate,14.69,23.34,1203.86,9.08,4.49,Arid,191.22,Maize
Sandy,7.8,146.05,6.43,145.07,2.94,Wet,21.48,39.54,1456.49,11.14,5.17,Temperate,1847.39,Wheat
Clay,7.48,241.14,113.12,237.94,3.03,Moderate,23.2,37.99,992.0,14.5,0.55,Temperate,1233.56,Rice
Clay,5.63,131.0,131.43,90.17,1.22,Dry,25.95,23.0,1204.3,3.68,3.25,Arid,1381.75,Soybean
Clay,5.66,292.56,143.73,138.85,1.92,Dry,17.08,81.96,610.86,4.13,3.33,Arid,842.1,Wheat
Loamy,6.4,137.21,77.41,98.65,2.5,Wet,23.23,55.81,1002.03,14.69,0.75,Tropical,472.61,Barley
Clay,5.94,53.05,41.08,12.19,0.94,Moderate,19.88,35.99,1815.93,11.7,5.68,Temperate,1653.68,Sugarcane
Clay,7.67,274.81,14.66,31.62,0.51,Moderate,14.3,74.9,1916.32,7.53,2.52,Arid,1930.72,Barley
Clay,5.56,251.67,74.37,84.85,0.73,Moderate,34.75,79.03,1585.4,3.8,2.92,Arid,874.96,Barley
Loamy,6.8,87.28,140.79,58.51,3.17,Dry,14.4,35.1,1960.91,6.36,9.78,Tropical,254.95,Rice
Loamy,7.64,97.6,33.81,175.86,1.56,Dry,36.87,22.75,920.48,16.44,4.88,Temperate,1153.1,Sugarcane
Loamy,7.44,89.14,108.42,199.04,0.68,Wet,16.74,41.18,1181.36,13.16,1.54,Temperate,633.96,Wheat
Sandy,5.89,16.22,77.07,27.02,2.92,Moderate,26.69,69.73,990.05,14.35,7.17,Tropical,151.18,Rice
Loamy,6.23,52.76,22.29,210.47,2.98,Moderate,16.7,67.39,746.46,13.78,3.54,Tropical,731.02,Sugarcane
Clay,6.75,83.34,106.38,127.19,1.16,Wet,10.7,43.64,849.08,14.24,5.22,Arid,1552.23,Rice
Clay,6.48,40.33,113.19,119.2,2.49,Wet,30.35,43.23,1783.32,18.38,4.09,Arid,1121.14,Soybean
Loamy,7.72,270.96,138.59,116.12,0.74,Wet,23.98,44.41,1740.75,17.62,7.78,Arid,1789.31,Maize
Loamy,5.59,159.85,50.59,136.13,4.78,Dry,30.46,67.87,849.21,7.3,4.42,Temperate,866.77,Rice
Loamy,7.07,277.92,57.39,239.25,3.12,Wet,33.6,41.06,1688.93,2.93,4.68,Tropical,1111.85,Soybean
Sandy,7.5,292.81,102.48,128.32,4.61,Moderate,30.78,49.62,1411.26,9.36,5.9,Temperate,805.67,Rice
Clay,5.46,47.23,7.87,94.57,0.61,Wet,25.47,41.52,1876.07,6.69,4.81,Temperate,1853.96,Barley
Sandy,6.36,250.8,47.78,194.97,4.14,Moderate,10.02,85.79,1514.43,3.18,2.07,Tropical,871.06,Rice
Loamy,5.13,285.68,94.17,95.33,2.82,Dry,11.29,77.45,848.44,5.47,1.5,Temperate,1324.71,Soybean
Loamy,7.35,149.29,61.43,174.8,0.75,Moderate,13.45,83.94,1460.37,15.58,5.41,Temperate,1325.3,Maize
Sandy,6.23,112.29,10.31,51.98,3.71,Moderate,14.69,45.04,1834.69,4.7,1.07,Tropical,75.39,Rice
Sandy,7.98,82.27,48.91,196.49,1.48,Dry,20.48,22.46,806.69,3.2,9.32,Tropical,1372.12,Maize
Sandy,7.94,276.68,117.61,210.36,4.37,Wet,37.9,83.32,1199.5,16.74,4.77,Arid,651.17,Maize
Loamy,6.84,36.61,34.17,202.99,1.77,Moderate,22.09,24.43,1294.28,10.31,5.44,Tropical,699.57,Rice
Clay,7.53,180.63,53.24,105.06,2.38,Moderate,28.38,73.67,1365.97,19.14,1.39,Arid,202.7,Maize
Clay,7.89,225.17,143.05,233.41,1.88,Moderate,33.52,73.04,1079.25,10.9,4.81,Tropical,523.23,Maize
Loamy,7.85,67.96,37.73,225.85,0.58,Wet,32.18,45.19,1420.43,18.51,3.5,Arid,1584.75,Maize
Sandy,6.45,220.67,25.29,99.86,1.21,Moderate,38.81,89.48,1728.65,17.89,4.84,Tropical,1713.55,Wheat
Clay,5.35,175.89,118.94,152.58,4.92,Wet,32.29,62.04,722.99,2.27,3.04,Arid,1805.54,Soybean
Loamy,7.11,13.02,123.89,79.47,4.0,Dry,38.33,60.48,1595.6,15.32,8.74,Tropical,967.05,Sugarcane
Loamy,6.09,40.91,92.23,249.43,2.61,Wet,27.29,63.51,1816.16,11.34,5.73,Temperate,1667.0,Maize
Loamy,7.53,147.91,143.52,87.13,3.23,Wet,35.64,26.19,1238.68,3.57,2.49,Arid,1621.75,Wheat
Sandy,8.19,38.11,7.48,211.07,2.22,Wet,31.49,89.91,1401.84,3.26,0.78,Temperate,1735.22,Sugarcane
Sandy,5.04,154.37,66.17,22.16,0.62,Moderate,33.04,61.56,1437.93,0.12,2.9,Temperate,942.01,Maize
Sandy,7.87,285.74,67.36,119.37,4.05,Wet,34.8,51.82,1251.61,8.55,1.12,Tropical,1655.94,Rice
Sandy,7.67,135.85,7.39,217.58,1.3,Wet,23.93,31.29,661.15,3.82,1.81,Temperate,464.45,Soybean
Loamy,5.29,109.36,85.38,199.59,2.02,Dry,22.19,85.76,1258.14,3.75,6.88,Arid,1962.95,Wheat
Loamy,5.61,127.22,102.06,106.33,3.91,Dry,39.52,34.04,720.29,7.58,2.5,Temperate,663.91,Soybean
Sandy,6.1,42.22,25.89,188.59,4.22,Wet,34.36,69.29,1963.75,11.54,6.38,Arid,1683.58,Wheat
Sandy,6.04,135.36,34.32,35.15,2.19,Moderate,29.61,85.53,1428.33,6.83,7.1,Tropical,1712.45,Barley
Loamy,8.36,76.3,117.99,103.14,2.93,Moderate,37.71,47.78,839.11,4.76,9.73,Arid,1532.02,Rice
Clay,8.4,171.88,106.32,32.77,4.86,Dry,39.67,49.41,1170.25,13.36,9.91,Tropical,1590.52,Rice
Sandy,5.66,235.09,118.79,205.8,4.5,Dry,12.32,57.98,1567.05,2.94,7.09,Tropical,408.22,Rice
Clay,7.23,249.99,46.18,88.2,0.71,Wet,32.4,76.93,813.16,19.29,3.81,Arid,1004.73,Barley
Clay,8.22,136.28,11.53,249.99,2.32,Dry,13.51,22.39,762.71,3.71,6.48,Arid,1098.98,Soybean
Sandy,7.86,21.78,34.48,91.15,1.53,Wet,34.78,76.39,1824.49,4.83,5.81,Tropical,990.22,Sugarcane
Clay,7.17,190.87,113.58,103.41,0.53,Wet,13.54,23.66,698.8,11.25,1.81,Tropical,956.71,Sugarcane
Sandy,7.51,28.13,119.0,146.94,2.72,Dry,35.96,76.0,757.33,13.56,9.58,Temperate,702.98,Sugarcane
Sandy,7.75,230.0,143.86,155.88,1.25,Wet,10.45,23.36,1883.35,14.78,3.55,Arid,1251.84,Wheat
Loamy,7.35,281.2,140.1,171.78,0.6,Dry,19.09,53.35,816.49,8.86,1.76,Temperate,1848.22,Sugarcane
Loamy,5.09,84.66,132.2,223.3,3.21,Dry,28.67,49.17,1237.73,18.49,8.32,Arid,426.78,Maize
Loamy,5.5,170.15,27.1,119.56,1.09,Dry,39.25,76.13,1767.89,2.05,5.42,Temperate,1637.14,Rice
Sandy,8.03,23.14,38.26,200.81,4.58,Moderate,19.21,44.07,1184.11,6.39,2.79,Temperate,1360.44,Sugarcane
Clay,5.18,32.26,104.99,109.49,1.03,Moderate,21.78,39.62,1737.84,1.42,3.48,Temperate,1263.48,Soybean
Sandy,5.17,51.38,48.54,201.53,0.55,Moderate,31.11,41.33,1873.61,6.81,0.91,Temperate,1022.95,Sugarcane
Sandy,5.08,71.66,101.55,26.44,0.73,Dry,19.84,75.7,668.75,10.08,4.47,Temperate,505.52,Rice
Sandy,5.96,36.02,7.85,247.6,1.33,Dry,37.41,84.98,1038.94,0.8,1.08,Tropical,1262.92,Barley
Sandy,6.51,213.29,14.89,154.14,3.79,Dry,10.66,65.31,1442.25,9.61,0.96,Tropical,970.48,Maize
Loamy,6.49,278.17,96.34,10.66,4.75,Moderate,22.53,81.37,1436.46,18.51,7.02,Arid,600.02,Wheat
Sandy,7.25,280.11,92.88,131.62,4.98,Dry,19.16,37.69,1539.35,8.04,7.22,Tropical,184.06,Barley
Loamy,5.1,298.5,50.04,138.58,0.96,Wet,12.11,45.07,1838.61,14.98,2.51,Tropical,1534.44,Rice
Clay,8.03,218.56,116.3,169.48,1.33,Moderate,28.39,73.9,722.95,6.6,1.59,Arid,1376.78,Maize
Loamy,5.14,278.92,95.61,214.63,0.87,Wet,27.66,62.9,1379.55,10.09,4.34,Arid,1131.06,Sugarcane
Clay,5.07,222.44,89.66,248.08,0.53,Moderate,13.47,74.22,1985.65,6.95,4.76,Arid,1013.39,Sugarcane
Sandy,7.3,228.77,110.32,134.52,4.88,Dry,34.25,77.63,990.68,11.74,6.93,Tropical,709.48,Wheat
Sandy,7.44,179.51,128.94,48.07,1.29,Dry,37.11,83.72,574.74,0.13,5.32,Arid,1877.37,Sugarcane
Clay,7.67,202.0,92.76,53.39,2.91,Moderate,25.53,54.73,877.7,7.85,9.39,Tropical,1618.56,Soybean
Clay,5.78,40.79,114.47,231.18,2.78,Moderate,28.59,43.76,555.27,12.33,8.77,Tropical,1566.22,Rice
Sandy,6.11,201.43,127.67,119.19,2.92,Wet,33.6,36.01,885.32,16.82,2.88,Arid,862.78,Maize
Loamy,6.0,122.92,131.97,150.05,2.22,Wet,33.55,68.28,1147.24,3.4,2.52,Tropical,538.53,Soybean
Loamy,5.13,132.39,134.12,35.61,4.47,Dry,25.02,47.78,1665.51,8.53,1.76,Tropical,510.79,Soybean
Clay,8.21,28.96,7.23,223.94,2.12,Dry,11.69,71.38,1540.63,11.69,0.52,Temperate,326.38,Barley
Sandy,5.14,144.5,138.22,16.75,1.21,Moderate,18.91,58.06,1114.84,4.19,4.57,Tropical,166.2,Sugarcane
Loamy,7.85,222.92,102.24,144.63,0.55,Moderate,38.05,28.41,869.74,16.52,7.69,Arid,632.35,Rice
Sandy,7.63,267.4,119.52,158.83,4.84,Wet,30.45,33.62,1181.27,0.21,6.46,Temperate,1687.16,Barley
Clay,6.88,137.54,146.12,39.63,3.29,Dry,25.21,63.27,1011.16,17.24,9.76,Tropical,288.69,Maize
Sandy,7.78,298.42,55.27,17.36,2.82,Wet,12.11,56.41,629.04,19.37,7.37,Arid,1554.86,Rice
Clay,8.36,143.29,65.16,159.07,0.63,Dry,20.82,62.84,1617.64,17.57,4.88,Tropical,1433.12,Maize
Sandy,6.16,259.16,126.65,111.22,3.18,Wet,37.89,35.39,674.02,8.79,6.49,Arid,716.32,Sugarcane
Sandy,8.34,114.97,94.78,23.37,0.53,Dry,20.24,34.11,1192.31,4.32,9.83,Temperate,689.79,Rice
Loamy,7.42,18.87,129.82,72.37,0.63,Wet,22.65,30.3,660.55,19.79,6.63,Temperate,468.05,Wheat
Clay,7.91,33.09,114.42,244.81,2.2,Moderate,10.82,30.71,702.91,8.69,0.85,Arid,599.32,Wheat
Clay,7.82,245.3,115.85,138.97,2.48,Dry,13.3,37.86,1519.04,19.94,3.38,Arid,1952.32,Rice
Loamy,7.53,219.09,8.5,173.38,4.86,Dry,20.42,38.98,1569.59,15.44,9.36,Tropical,1894.6,Sugarcane
Loamy,6.82,50.29,118.72,181.84,3.47,Moderate,30.52,29.02,563.89,16.53,0.69,Temperate,1661.94,Maize
Loamy,6.82,76.78,134.02,154.31,0.93,Dry,25.27,65.21,827.68,0.4,4.44,Arid,1542.24,Wheat
Loamy,8.49,11.42,38.29,32.81,1.74,Dry,29.69,58.59,1896.78,5.73,2.0,Temperate,1498.66,Wheat
Sandy,8.02,90.82,135.99,133.11,2.78,Moderate,24.84,35.88,1943.54,8.2,2.1,Temperate,100.15,Sugarcane
Loamy,7.96,97.37,114.15,76.85,0.86,Moderate,21.37,36.12,758.96,1.67,0.52,Tropical,1665.51,Soybean
Sandy,7.35,130.9,93.39,15.77,1.96,Dry,17.32,39.3,1570.87,15.47,8.73,Arid,1323.01,Sugarcane
Sandy,5.48,224.35,22.05,159.24,3.88,Wet,34.08,88.52,1043.38,14.16,5.03,Arid,1495.96,Barley
Clay,7.74,232.84,21.45,235.47,4.2,Dry,33.72,34.27,646.46,1.87,4.46,Arid,557.25,Soybean
Clay,6.19,173.73,146.13,157.29,3.79,Wet,28.31,82.44,1896.72,1.5,3.31,Arid,387.08,Soybean
Sandy,6.67,250.71,45.46,220.28,4.53,Moderate,25.31,29.11,646.07,13.04,1.53,Arid,1383.38,Barley
Clay,7.23,124.48,36.99,98.76,4.06,Dry,30.04,83.69,1380.08,18.65,3.2,Arid,63.56,Barley
Clay,7.53,207.41,13.41,225.95,2.85,Dry,35.17,44.78,1648.97,7.57,5.41,Tropical,1141.31,Sugarcane
Clay,7.46,85.89,116.58,78.46,1.72,Wet,24.17,52.6,522.74,4.49,4.58,Tropical,1026.5,Maize
Loamy,7.0,217.08,89.2,169.39,1.67,Wet,39.62,55.15,966.37,12.0,2.76,Temperate,551.91,Soybean
Clay,7.38,35.49,120.94,91.75,0.85,Moderate,16.73,24.63,1314.99,14.38,6.19,Tropical,1321.78,Rice
Sandy,7.83,178.86,84.28,31.8,3.33,Moderate,33.85,79.11,978.27,9.38,2.57,Tropical,207.8,Maize
Loamy,5.5,177.3,63.65,116.76,2.05,Dry,22.76,75.45,1107.06,9.14,9.67,Temperate,1934.89,Rice
Clay,7.85,104.99,6.15,25.51,3.67,Moderate,36.53,57.01,1252.01,14.29,9.04,Tropical,737.07,Rice
Clay,6.8,201.15,18.65,78.41,0.56,Dry,21.28,53.42,759.74,11.47,2.04,Arid,1064.41,Barley
Loamy,5.41,104.12,30.54,15.78,4.15,Dry,36.12,72.77,686.4,3.0,7.8,Tropical,1084.94,Rice
Clay,5.64,247.26,42.96,152.11,3.49,Wet,27.02,65.09,1322.51,2.8,4.58,Tropical,1477.04,Sugarcane
Loamy,7.51,280.63,105.63,235.01,1.91,Moderate,16.34,78.34,1611.44,8.21,3.48,Tropical,1753.18,Barley
Sandy,6.48,73.69,74.08,84.77,1.88,Wet,23.1,83.51,1959.28,8.13,9.26,Arid,828.0,Maize
Sandy,6.23,84.15,9.73,88.7,4.11,Moderate,27.6,57.76,590.56,5.67,8.24,Temperate,281.33,Sugarcane
Clay,5.37,42.43,123.98,223.52,4.79,Dry,20.79,55.28,1569.35,17.05,2.64,Temperate,1995.74,Barley
Loamy,6.85,172.9,34.16,188.71,3.92,Moderate,21.7,31.59,1308.2,17.13,1.78,Arid,685.04,Rice
Clay,7.39,288.91,127.75,62.32,4.1,Dry,39.43,46.26,730.95,14.49,6.33,Temperate,1825.03,Sugarcane
Sandy,5.33,232.46,37.68,14.93,1.04,Wet,31.29,26.68,1009.04,12.16,2.06,Temperate,500.46,Maize
Sandy,5.56,88.74,27.75,243.88,1.45,Dry,22.95,29.51,774.27,1.0,7.5,Arid,689.82,Rice
Sandy,5.96,27.74,149.77,218.44,4.82,Moderate,31.5,57.27,1768.46,13.06,5.77,Arid,954.19,Sugarcane
Clay,6.93,287.61,49.55,202.63,3.26,Moderate,30.6,86.93,1734.78,13.93,5.45,Temperate,1586.53,Soybean
Sandy,5.13,26.01,69.75,214.27,4.17,Moderate,17.39,22.06,1008.83,3.38,4.97,Temperate,1712.65,Wheat
Clay,8.27,190.68,39.33,165.01,0.85,Wet,31.45,65.1,1129.56,10.7,2.64,Tropical,516.36,Barley
Sandy,5.31,97.57,126.61,230.45,3.04,Wet,12.69,24.98,526.6,1.09,9.73,Tropical,118.3,Wheat
Sandy,6.61,19.76,15.56,42.85,3.54,Dry,20.89,84.34,1849.55,8.33,5.07,Temperate,1867.14,Maize
Sandy,7.35,228.56,11.72,115.35,1.47,Wet,12.33,37.06,843.29,13.05,7.46,Tropical,1432.0,Sugarcane
Loamy,6.84,188.09,112.15,95.65,4.87,Dry,12.84,62.58,1210.78,18.93,2.48,Tropical,1032.63,Wheat
Sandy,7.87,266.61,138.55,117.1,1.68,Dry,26.42,86.98,1793.84,9.01,1.05,Temperate,1813.7,Soybean
Clay,5.46,295.17,78.33,56.93,1.46,Moderate,24.91,20.12,1315.92,16.67,5.21,Temperate,1554.95,Sugarcane
Sandy,8.44,188.7,62.79,80.98,3.89,Dry,24.74,54.88,893.85,3.58,7.92,Arid,1460.55,Wheat
Sandy,7.24,220.97,14.13,249.58,1.35,Dry,28.85,65.87,1102.25,15.61,6.07,Tropical,1724.29,Sugarcane
Clay,7.58,201.59,140.55,235.26,2.91,Dry,17.67,48.28,1723.91,18.38,7.94,Tropical,833.11,Maize
Loamy,7.25,117.75,90.23,198.75,0.54,Dry,17.89,35.43,877.58,3.57,6.39,Tropical,432.38,Rice
Loamy,6.98,234.55,98.35,174.1,2.94,Moderate,20.29,45.63,1057.18,19.87,7.02,Temperate,1997.13,Barley
Sandy,8.5,272.65,47.02,37.32,3.9,Wet,26.54,21.44,1934.67,5.23,3.26,Tropical,490.63,Rice
Loamy,6.31,268.9,67.43,151.76,1.7,Wet,15.86,27.71,1350.03,14.74,6.64,Tropical,1818.93,Soybean
Sandy,6.11,187.92,125.73,33.32,4.19,Dry,25.54,20.38,1033.7,6.91,5.21,Tropical,1801.73,Soybean
Loamy,5.69,155.99,126.28,198.43,3.09,Moderate,28.87,84.54,1352.32,0.14,3.8,Arid,760.19,Sugarcane
Loamy,7.06,130.34,20.32,130.82,1.47,Wet,35.02,81.31,1290.13,1.56,8.29,Arid,958.58,Wheat
Sandy,7.36,121.35,64.63,77.63,2.81,Wet,20.39,56.35,1010.16,6.09,2.09,Temperate,727.16,Barley
Sandy,6.19,238.58,78.32,180.04,1.15,Dry,32.95,34.09,561.75,1.67,8.33,Arid,1770.34,Soybean
Clay,6.17,199.42,21.27,81.34,2.89,Wet,19.03,38.48,637.58,9.3,2.17,Temperate,1556.71,Soybean
Sandy,5.32,196.9,11.94,107.73,1.63,Dry,21.77,76.65,537.39,7.56,2.69,Arid,1719.22,Wheat
Clay,6.57,120.96,121.5,23.46,3.42,Moderate,19.45,87.78,1841.97,6.15,3.63,Temperate,1010.6,Sugarcane
Loamy,7.04,18.18,101.92,59.73,0.93,Wet,15.98,57.94,1307.58,17.39,6.96,Arid,1958.75,Sugarcane
Clay,7.17,133.45,20.9,135.13,0.68,Dry,23.59,87.4,1670.52,12.91,1.81,Temperate,1707.9,Rice
Clay,6.34,114.91,139.95,100.8,0.58,Dry,24.99,41.05,1060.19,11.99,5.75,Arid,707.6,Sugarcane
Sandy,5.49,242.71,87.42,241.85,1.66,Dry,34.24,70.05,971.61,19.89,1.89,Tropical,1324.62,Soybean
Loamy,8.17,277.81,142.7,187.78,1.09,Dry,36.67,52.01,1732.53,10.48,4.14,Tropical,1161.29,Maize
Sandy,5.49,48.63,74.22,22.91,1.84,Moderate,14.62,62.61,1171.26,11.33,8.8,Arid,1321.87,Barley
Sandy,8.36,190.36,44.47,98.06,4.72,Moderate,36.6,73.63,1898.12,17.08,7.79,Arid,1735.75,Rice
Loamy,7.21,188.22,116.06,182.36,1.23,Wet,12.22,82.29,1293.27,1.91,6.01,Tropical,873.51,Maize
Loamy,5.35,179.34,129.47,83.48,4.26,Wet,17.39,45.57,1097.64,1.27,3.47,Temperate,504.3,Soybean
Clay,6.28,209.44,135.92,41.36,1.01,Wet,21.51,62.78,574.59,8.45,4.47,Temperate,373.24,Wheat
Loamy,7.71,197.23,52.76,49.16,3.29,Moderate,22.87,25.65,1169.64,8.8,7.64,Temperate,817.07,Maize
Loamy,6.46,88.09,78.56,105.42,3.35,Wet,10.25,76.28,1568.95,9.76,5.86,Temperate,921.46,Maize
Clay,6.3,219.98,135.92,92.0,0.83,Wet,33.47,80.67,883.93,14.25,9.95,Arid,156.52,Wheat
Loamy,6.33,236.91,125.88,65.98,1.76,Wet,26.71,59.79,994.97,3.66,3.17,Temperate,1687.97,Sugarcane
Loamy,7.0,158.49,55.5,160.43,3.84,Moderate,26.62,56.34,1787.7,1.68,0.89,Tropical,1800.35,Rice
Loamy,5.94,295.03,100.78,62.54,3.81,Moderate,38.22,30.45,889.6,0.45,3.75,Arid,465.98,Maize
Sandy,6.65,275.22,100.89,40.56,4.5,Moderate,17.77,45.33,1928.66,17.61,2.96,Arid,306.7,Wheat
Clay,5.18,123.86,8.4,231.39,3.52,Moderate,13.44,21.14,862.11,1.77,2.46,Temperate,566.74,Sugarcane
Clay,5.67,295.3,102.51,63.55,4.18,Wet,24.92,36.51,1748.42,14.04,6.4,Arid,1401.11,Soybean
Clay,5.14,45.14,88.54,242.86,2.31,Moderate,21.31,77.95,1055.13,3.37,7.7,Temperate,528.63,Maize
Clay,5.22,84.05,77.48,219.14,0.62,Wet,32.83,88.2,1199.43,2.66,5.88,Tropical,169.82,Wheat
Clay,8.04,287.19,39.32,133.08,4.77,Wet,19.95,21.99,829.03,3.73,8.4,Arid,1674.24,Maize
Sandy,5.42,299.49,142.12,193.04,0.6,Wet,20.01,86.56,1683.47,9.27,4.54,Temperate,247.82,Wheat
Sandy,5.26,213.98,77.53,103.39,3.49,Dry,26.69,33.22,999.75,10.57,1.66,Tropical,813.81,Soybean
Clay,6.35,175.05,128.23,173.08,4.47,Moderate,11.41,84.66,1374.19,11.1,4.86,Arid,1346.83,Sugarcane
Sandy,8.48,101.67,110.34,123.43,4.76,Wet,35.5,59.21,1118.58,3.07,7.94,Temperate,1169.83,Rice
